repo_id,app,full_name,description,owner_id,default_branch,language,created_at,updated_at,pushed_at,size,stargazers,subscribers,is_fork,forks_count,open_issues,watchers,has_downloads,has_issues,has_pages,has_wiki,has_projects,git_url,clone_url,last_commit_sha,last_commit_date,last_commit_massage,last_commit_author,tests_count,has_junit,is_maven,classification
8205602,mybatis-3,mybatis/mybatis-3,MyBatis SQL mapper framework for Java,1483254,master,Java,2013-02-14T19:03:32Z,2020-12-01T15:20:26Z,2020-11-30T14:22:32Z,106663,14663,1209,False,9833,161,14663,True,True,True,True,True,git://github.com/mybatis/mybatis-3.git,https://github.com/mybatis/mybatis-3.git,b2aff7694ff05d44b6a5de8c446abce02f53fe1a,2020-11-27T23:26:42Z,Merge pull request #2119 from hazendaz/master  Github Actions - Adjust OS usage; sonatype push add; skip license check due to shallow clone; sonar; adjustments to travis,GitHub,326,True,True,0.5882129847869036
5070389,EventBus,greenrobot/EventBus,Event bus for Android and Java that simplifies communication between Activities; Fragments; Threads; Services; etc. Less code; better quality.,242242,master,Java,2012-07-16T16:55:40Z,2020-11-30T08:04:38Z,2020-03-04T03:28:27Z,1643,23005,1119,False,4542,135,23005,True,True,True,True,True,git://github.com/greenrobot/EventBus.git,https://github.com/greenrobot/EventBus.git,1d995077d0b620a6aae9c60a8b96443113752305,2020-02-11T09:52:09Z,README.md: add recommendation to use subscriber index,Markus,38,True,False,0.5839768875334908
7613257,selenium,SeleniumHQ/selenium,A browser automation framework and ecosystem.,983927,trunk,Java,2013-01-14T21:40:56Z,2020-12-01T03:46:27Z,2020-12-01T05:02:50Z,1882359,19205,1331,False,6063,337,19205,True,True,True,True,True,git://github.com/SeleniumHQ/selenium.git,https://github.com/SeleniumHQ/selenium.git,4a7704152d78c6b6f82bbd40545708a0d00fda4e,2020-11-30T21:55:45Z,[bazel] Avoid linting our test code,Simon Stewart,412,True,True,0.5582240466289938
5373551,libgdx,libgdx/libgdx,Desktop/Android/HTML5/iOS Java game development framework,509841,master,Java,2012-08-10T19:34:38Z,2020-11-30T17:42:38Z,2020-11-30T19:21:12Z,1075106,17758,1263,False,6082,208,17758,True,True,False,True,True,git://github.com/libgdx/libgdx.git,https://github.com/libgdx/libgdx.git,5f58c8d22a5793d57c3934c4abfb56fca3dbe327,2020-11-28T05:23:34Z,Allow LwjglFrame to customize the Gdx.input instance.,NathanSweet,280,True,True,0.5309779301115387
6766558,Hystrix,Netflix/Hystrix,Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems; services and 3rd party libraries; stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.,913567,master,Java,2012-11-19T20:14:46Z,2020-11-30T19:26:48Z,2020-11-02T23:53:36Z,9784,20689,1692,False,4226,381,20689,True,True,True,True,True,git://github.com/Netflix/Hystrix.git,https://github.com/Netflix/Hystrix.git,3cb21589895e9f8f87cfcdbc9d96d9f63d48b848,2018-11-19T22:20:36Z,Merge pull request #1904 from Netflix/qiangdavidliu-update-hystrix-status  Update official Netflix Hystrix Status,GitHub,119,True,False,0.5295834884107837
1103607,jenkins,jenkinsci/jenkins,Jenkins automation server,107424,master,Java,2010-11-22T21:21:23Z,2020-11-28T02:49:44Z,2020-11-27T20:58:56Z,124326,16531,885,False,6558,60,16531,False,False,False,False,False,git://github.com/jenkinsci/jenkins.git,https://github.com/jenkinsci/jenkins.git,3f9102e0324303454870deb54ade42cc297e01a3,2020-11-27T20:58:55Z,Custom workspace tr zh replace slave on agent (#5071),GitHub,524,True,True,0.5221916631153227
7587038,canal,alibaba/canal,阿里巴巴 MySQL binlog 增量订阅&消费组件,1961952,master,Java,2013-01-13T10:59:52Z,2020-12-01T05:46:34Z,2020-11-27T03:57:37Z,18372,16871,1184,False,5266,466,16871,True,True,True,True,True,git://github.com/alibaba/canal.git,https://github.com/alibaba/canal.git,d7414258959608f39316461c008df9e9d720df5a,2020-11-20T05:47:26Z,升级guava 至 22.0 (#3184)  * fix issue:#561 增加一个外部参数控制，允许位点不存在时自动重置到当前位点    * Add MariaDB GTID support    * remove client pom bad ns    * upgrade guava version to 22.0,GitHub,113,True,True,0.48850973328187824
7010724,cat,dianping/cat,CAT 作为服务端项目基础组件，提供了 Java; C/C++; Node.js; Python; Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。,1539555,master,Java,2012-12-05T02:31:48Z,2020-12-01T01:30:25Z,2020-11-18T05:19:05Z,113375,14610,1166,False,4649,107,14610,True,True,False,True,True,git://github.com/dianping/cat.git,https://github.com/dianping/cat.git,801f0b7b358814f8176dd2c47e25a85a9c83e6bc,2020-08-20T07:42:58Z,Update Dockerfile  fix TOMCAT_MINOR_VERSION 7.0.105,GitHub,156,True,True,0.42580361682838863
919161,Arduino,arduino/Arduino,open-source electronics platform,379109,master,Java,2010-09-17T19:10:36Z,2020-11-27T23:46:17Z,2020-11-04T22:33:49Z,1383134,10844,1046,False,6759,935,10844,True,True,False,True,False,git://github.com/arduino/Arduino.git,https://github.com/arduino/Arduino.git,a056a5fdc751b933453830434e36aeffae7512d5,2020-10-09T10:11:56Z,Merge pull request #10844 from per1234/fix-build-system  Fix built-in examples update during build,GitHub,36,True,False,0.4190417871994434
2990192,Signal-Android,signalapp/Signal-Android,A private messenger for Android.,702459,master,Java,2011-12-15T20:01:12Z,2020-11-29T02:31:54Z,2020-11-29T00:36:54Z,295759,14054,764,False,3557,891,14054,True,True,False,True,True,git://github.com/signalapp/Signal-Android.git,https://github.com/signalapp/Signal-Android.git,39f1aea8e35bcd7cf78b2ddd2330298d6512deeb,2020-11-24T18:05:57Z,Bump version to 4.78.5,Alex Hart,98,True,False,0.38111074420777563
65885,platform_frameworks_base,aosp-mirror/platform_frameworks_base,None,30177,master,Java,2008-10-21T18:20:37Z,2020-11-27T13:40:16Z,2020-11-04T04:18:04Z,2903744,9390,909,False,5830,0,9390,True,False,False,False,False,git://github.com/aosp-mirror/platform_frameworks_base.git,https://github.com/aosp-mirror/platform_frameworks_base.git,ebec38b95203b992042350bc5855d6813648b9e3,2020-11-27T18:36:25Z,Merge  'Prepare to make time detection more configurable ',Gerrit Code Review,2211,True,False,0.36214760105530647
5901900,disruptor,LMAX-Exchange/disruptor,High Performance Inter-Thread Messaging Library,2392634,master,Java,2012-09-21T13:42:24Z,2020-11-30T19:22:03Z,2020-11-30T19:23:03Z,8833,13231,1331,False,3260,13,13231,True,True,True,True,True,git://github.com/LMAX-Exchange/disruptor.git,https://github.com/LMAX-Exchange/disruptor.git,4f9a34f8f17453896e94100df7a9be3264c92b1f,2020-11-30T19:21:53Z,Merge pull request #338 from Palmr/jmh  Make results directory first in the jmh task,GitHub,57,True,False,0.35603144403510106
4576305,zipkin,openzipkin/zipkin,Zipkin is a distributed tracing system,11860887,master,Java,2012-06-06T18:26:16Z,2020-11-30T02:13:39Z,2020-11-28T00:57:15Z,63772,13721,717,False,2600,138,13721,True,True,True,True,True,git://github.com/openzipkin/zipkin.git,https://github.com/openzipkin/zipkin.git,5c2090fe74b264dd8f851573f09b96f886494574,2020-11-27T23:40:57Z,Cleanups on docker test images (#3319)  * makes all test images have a classpath of 'classes:lib/*'    * This allows more simple changes to images; like patching classes    * This is used for testing things like Cassandra tracing plugin  * adds `LOGGING_LEVEL` arg to cassandra and kafka    * This makes it a lot easier to figure out problems customizing images    * This also switches from stderr to stdout as it looks bad otherwise  * Updates ITs to use more recent images  * Has cassandra use Java 11 opens regardless of v3 or v4,GitHub,103,True,True,0.3449108411119416
160999,zookeeper,apache/zookeeper,Apache ZooKeeper,47359,master,Java,2009-03-27T15:41:56Z,2020-11-27T15:51:19Z,2020-11-26T14:34:16Z,124188,8838,667,False,5584,147,8838,True,False,False,False,False,git://github.com/apache/zookeeper.git,https://github.com/apache/zookeeper.git,ef1f12fbe8865aaa675adf8f844487e71e1b6a77,2020-11-24T14:37:33Z,ZOOKEEPER-4017: Owasp check failing - Jetty 9.4.32 - CVE-2020-27216  Author: Andor Molnar <andor@apache.org>  Reviewers: Mate Szalay-Beko <symat@apache.org>; Enrico Olivelli <eolivelli@apache.org>; Norbert Kalmar <nkalmar@apache.org>  Closes #1549 from anmolnar/ZOOKEEPER-4017,Norbert Kalmar,335,True,True,0.3438695908874484
5793738,Activiti,Activiti/Activiti,Activiti is a light-weight workflow and Business Process Management (BPM) Platform targeted at business people; developers and system admins. Its core is a super-fast and rock-solid BPMN 2 process engine for Java. It's open-source and distributed under the Apache license. Activiti runs in any Java application; on a server; on a cluster or in the cloud. It integrates perfectly with Spring; it is extremely lightweight and based on simple concepts.,2317879,develop,Java,2012-09-13T11:34:43Z,2020-11-30T20:47:07Z,2020-11-30T16:28:39Z,118948,7244,658,False,6157,401,7244,True,True,False,True,True,git://github.com/Activiti/Activiti.git,https://github.com/Activiti/Activiti.git,940276b3bbc094dda30151c168b4b4c39e81a07c,2020-11-13T12:32:07Z,Activiti/Activiti#3477 - Task priority (#3478)  * Activiti/Activiti#3477 - Task priority  Task priority default value change to 0  * Activiti/Activiti#3477 task priority test cases,GitHub,539,True,True,0.3310427473050962
2626751,greenDAO,greenrobot/greenDAO,greenDAO is a light & fast ORM solution for Android that maps objects to SQLite databases.,242242,master,Java,2011-10-22T16:15:14Z,2020-11-27T13:20:52Z,2020-08-11T13:03:18Z,7299,12264,547,False,2860,220,12264,True,True,False,False,True,git://github.com/greenrobot/greenDAO.git,https://github.com/greenrobot/greenDAO.git,0cce6c004181eeec9b900c9bd2ef47d7f0c23893,2020-04-29T21:34:29Z,upgrade example and test dependencies to 3.3.0,Markus,77,True,False,0.32497522264522116
2349728,PocketHub,pockethub/PocketHub,PocketHub Android App,11877067,master,Java,2011-09-08T16:52:50Z,2020-11-25T22:49:27Z,2020-10-01T10:10:09Z,11945,9485,955,False,3602,122,9485,True,True,False,True,True,git://github.com/pockethub/PocketHub.git,https://github.com/pockethub/PocketHub.git,8228cb8f7197a7c2227e67ee48a2c8dc843fb553,2020-04-11T14:16:07Z,Merge pull request #1285 from Meisolsson/filters-sqlite  Moved issue filters/bookmarks to SQLite,GitHub,27,True,False,0.2946125048586542
3766706,Apktool,iBotPeaches/Apktool,A tool for reverse engineering Android apk files,611784,master,Java,2012-03-19T17:46:53Z,2020-11-29T23:28:35Z,2020-11-29T22:34:05Z,183814,10955,613,False,2650,42,10955,True,True,True,False,False,git://github.com/iBotPeaches/Apktool.git,https://github.com/iBotPeaches/Apktool.git,734793c4bb305b1d31213e38f6dbad16d792208e,2020-11-29T14:34:43Z,fix: survive if referent is null (flags),Connor Tumbleson,39,True,False,0.29325468102115176
3116751,androidannotations,androidannotations/androidannotations,Fast Android Development. Easy maintainance.,1315313,develop,Java,2012-01-06T08:48:03Z,2020-11-28T10:51:17Z,2020-11-19T20:37:14Z,22499,11097,685,False,2446,44,11097,True,True,False,True,False,git://github.com/androidannotations/androidannotations.git,https://github.com/androidannotations/androidannotations.git,52566338e49182279b3bc453f5fbc3f650d0da7e,2020-11-19T20:37:10Z,Merge pull request #2287 from androidannotations/update-examples  Update examples,GitHub,125,True,True,0.28963551561519874
715605,jedis,redis/jedis,A blazingly small and sane redis java client,1529926,master,Java,2010-06-11T13:04:43Z,2020-11-27T15:42:32Z,2020-11-27T21:32:03Z,8721,9484,735,False,3382,270,9484,True,True,True,True,True,git://github.com/redis/jedis.git,https://github.com/redis/jedis.git,72dc12e68947bb06c05b2d37d64c37e1ad367b45,2020-11-26T06:27:31Z,clean warnings (#2286),GitHub,58,True,True,0.2877441648564365
6358188,druid,apache/druid,Apache Druid: a high performance real-time analytics database.,47359,master,Java,2012-10-23T19:08:07Z,2020-11-30T12:17:00Z,2020-11-30T18:30:40Z,219196,10305,637,False,2773,1013,10305,True,True,False,True,True,git://github.com/apache/druid.git,https://github.com/apache/druid.git,2560bf0a1919c36b824bd0e4f9286e2899deddd3,2020-11-29T22:47:35Z,Add new coordinator metrics for coordinator duty runtimes (#10603)  * Add new coordinator metrics for duty runtimes    * fix spelling for a constant variable value    * add comment clarifying why the global runtime metric is emitted where it is    * Remove duty alias in lieu of using the class name for metrics    * fix docs    * CoordinatorStats tests + add duty stats to accumulate() logic,GitHub,1468,True,True,0.2845791420496749
5198041,eureka,Netflix/eureka,AWS Service registry for resilient mid-tier load balancing and failover.,913567,master,Java,2012-07-26T22:23:07Z,2020-11-30T10:06:22Z,2020-11-12T18:43:58Z,11964,9982,982,False,2945,23,9982,True,True,False,True,True,git://github.com/Netflix/eureka.git,https://github.com/Netflix/eureka.git,336ee2bc5b73f6a2e37fb0135816de131562c391,2020-11-12T18:42:16Z,Revert log level of 'Saw local status' error,James Mulcahy,93,True,False,0.28371996595836596
6207167,mockito,mockito/mockito,Most popular Mocking framework for unit tests written in Java,2054056,release/3.x,Java,2012-10-13T20:27:12Z,2020-11-30T23:57:58Z,2020-11-30T23:57:57Z,46829,11261,439,False,1995,291,11261,True,True,True,True,True,git://github.com/mockito/mockito.git,https://github.com/mockito/mockito.git,8c3164b8334c319913379d3099d7de5e54c35e4a,2020-11-30T23:57:54Z,Bump junit-platform-launcher from 1.1.0 to 1.7.0 (#2115)  Bumps [junit-platform-launcher](https://github.com/junit-team/junit5) from 1.1.0 to 1.7.0.  - [Release notes](https://github.com/junit-team/junit5/releases)  - [Commits](https://github.com/junit-team/junit5/commits)    Signed-off-by: dependabot[bot] <support@github.com>    Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>,GitHub,409,True,False,0.27874991649445385
1911523,vert.x,eclipse-vertx/vert.x,Vert.x is a tool-kit for building reactive applications on the JVM,19804680,master,Java,2011-06-17T14:54:55Z,2020-11-28T22:49:35Z,2020-11-28T22:40:25Z,109139,11529,596,False,1739,268,11529,True,True,True,True,True,git://github.com/eclipse-vertx/vert.x.git,https://github.com/eclipse-vertx/vert.x.git,0ed8a323ff2844868575a786977f56949214324a,2020-11-28T11:18:38Z,Merge pull request #3677 from eclipse-vertx/doc-improvements  Doc improvements for v4,GitHub,183,True,True,0.2759358817075856
4084908,realm-java,realm/realm-java,Realm is a mobile database: a replacement for SQLite & ORMs,7575099,master,Java,2012-04-20T09:18:42Z,2020-11-29T18:39:56Z,2020-11-27T19:50:21Z,61062,11052,377,False,1747,416,11052,True,True,False,True,False,git://github.com/realm/realm-java.git,https://github.com/realm/realm-java.git,0387fca459981d400330148f04580488c90a5da8,2020-11-23T16:05:20Z,Prepare next dev iteration,Clemente Tort,31,True,False,0.26700833356901155
1272129,dropwizard,dropwizard/dropwizard,A damn simple library for building production-ready RESTful web services.,5478557,master,Java,2011-01-19T19:52:29Z,2020-11-27T17:15:11Z,2020-11-26T21:09:07Z,102255,7782,432,False,3255,30,7782,True,True,True,True,True,git://github.com/dropwizard/dropwizard.git,https://github.com/dropwizard/dropwizard.git,cf2230d3bad462c5242c1b9bf968dfa2537b081d,2020-11-26T16:56:51Z,Revert  'Replace invalid default excludedProtocols in HttpsConnectorFactory ' (#3579)  Jetty 9.4.34.v20201102 added support for regular expressions in included/excluded protocols.    https://github.com/eclipse/jetty.project/releases/tag/jetty-9.4.34.v20201102    Refs #3533  Refs https://github.com/eclipse/jetty.project/issues/5535  This partially reverts commit 206e858b9171d4dff0c71a55a017909cf2b67d22.,GitHub,341,True,True,0.2510470023296745
106310,junit4,junit-team/junit4,A programmer-oriented testing framework for Java.,874086,main,Java,2009-01-13T03:41:26Z,2020-11-27T02:50:48Z,2020-10-14T07:14:09Z,24108,8001,618,False,3050,133,8001,True,True,True,True,False,git://github.com/junit-team/junit4.git,https://github.com/junit-team/junit4.git,7852b90cfe1cea1e0cdaa19d490c83f0d8684b50,2020-10-11T15:41:24Z,Document security fix in release notes,Marc Philipp,181,True,True,0.24887804361918864
501687,antlr4,antlr/antlr4,ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading; processing; executing; or translating structured text or binary files.,80584,master,Java,2010-02-04T01:36:28Z,2020-11-27T14:17:55Z,2020-11-27T15:45:53Z,63722,8872,367,False,2139,611,8872,True,True,False,False,True,git://github.com/antlr/antlr4.git,https://github.com/antlr/antlr4.git,87515f2864de0bcda72e8177981e83ca33856516,2020-11-27T00:01:52Z,update npm readme,Eric Vergnaud,212,True,True,0.23727298035795033
5279091,dagger,square/dagger,A fast dependency injector for Android and Java.,82592,master,Java,2012-08-02T23:25:32Z,2020-11-30T09:30:16Z,2020-07-01T20:40:18Z,6834,7235,431,False,2981,62,7235,True,True,True,False,False,git://github.com/square/dagger.git,https://github.com/square/dagger.git,572cdd2fe97fc3c148fb3d8e1b2ce7beb4dcbcde,2018-01-10T15:24:29Z,Fix deprecation typos.,Jesse Wilson,59,True,True,0.2319934791347056
3695744,cw-omnibus,commonsguy/cw-omnibus,Source code to omnibus edition of _The Busy Coder's Guide to Android Development_,103772,master,Java,2012-03-12T14:12:06Z,2020-11-29T15:11:24Z,2019-02-09T23:04:17Z,75165,5174,746,False,3874,1,5174,True,False,False,False,True,git://github.com/commonsguy/cw-omnibus.git,https://github.com/commonsguy/cw-omnibus.git,f2ffeb687d002f4a41b52a6ef5bb2580eb6a4ed6,2019-02-09T17:18:34Z,bug fix for image size,Mark Murphy,86,True,True,0.22014474079045976
1705960,spark,perwendel/spark,A simple expressive web framework for java. Spark has a kotlin DSL https://github.com/perwendel/spark-kotlin,741279,master,Java,2011-05-05T11:52:05Z,2020-11-28T17:48:50Z,2020-11-18T20:41:04Z,2486,8917,424,False,1505,206,8917,True,True,False,True,True,git://github.com/perwendel/spark.git,https://github.com/perwendel/spark.git,54079b0f95f0076dd3c440e1255a7d449d9489f1,2020-11-18T20:40:59Z,updated changeset,Per Wendel,46,True,True,0.21840083174818037
442430,jsoup,jhy/jsoup,jsoup: Java HTML Parser; with best of DOM; CSS; and jquery,76934,master,Java,2009-12-19T01:29:58Z,2020-11-27T15:38:56Z,2020-11-20T19:48:55Z,3614,8303,415,False,1823,237,8303,False,True,False,False,True,git://github.com/jhy/jsoup.git,https://github.com/jhy/jsoup.git,89580cc3d25d0d89ac1f46b349e5cd315883dc79,2020-03-07T19:11:06Z,JUnit 5 dependency aggregator. (#1336),GitHub,38,True,True,0.2164886616507878
481412,Java-WebSocket,TooTallNate/Java-WebSocket,A barebones WebSocket client and server implementation written in 100% Java.,71256,master,Java,2010-01-20T23:33:04Z,2020-11-27T11:37:29Z,2020-10-21T17:00:29Z,3985,7487,364,False,2109,25,7487,True,True,True,True,True,git://github.com/TooTallNate/Java-WebSocket.git,https://github.com/TooTallNate/Java-WebSocket.git,cfde6e05cb5e0c525dd36030ed085d240690c564,2020-10-21T16:54:28Z,Merge pull request #1083 from marci4/AddSonarAction,GitHub,62,True,True,0.20969414851707985
206424,cassandra,apache/cassandra,Mirror of Apache Cassandra,47359,trunk,Java,2009-05-21T02:10:09Z,2020-11-27T16:10:38Z,2020-11-27T18:07:05Z,334629,6303,494,False,2741,334,6303,True,False,False,False,True,git://github.com/apache/cassandra.git,https://github.com/apache/cassandra.git,9a3ca008bad2a7bfa887a8ba2d119fdc4369ba08,2020-11-27T16:07:31Z,Merge commit '080280dc0177da6176dd4ba970e5a35aa7e2a729' into trunk,Sylvain Lebresne,739,True,False,0.20659175861320553
3523632,springside4,springside/springside4,A Spring Framework based; pragmatic style JavaEE application reference architecture.,1464732,master,Java,2012-02-23T08:39:03Z,2020-11-29T03:23:13Z,2019-12-15T16:04:12Z,4837,5796,1130,False,3026,73,5796,True,True,False,True,True,git://github.com/springside/springside4.git,https://github.com/springside/springside4.git,8950746bb53ce209b4cb5d2d1706712e9c6a0efc,2018-08-07T09:51:46Z,FixCase,calvin1978,73,True,True,0.2057107072730794
659341,facebook-android-sdk,facebook/facebook-android-sdk,Used to integrate Android apps with Facebook Platform.,69631,master,Java,2010-05-10T17:17:33Z,2020-11-27T11:25:28Z,2020-11-21T07:32:39Z,28859,5245,634,False,3363,54,5245,True,True,False,False,True,git://github.com/facebook/facebook-android-sdk.git,https://github.com/facebook/facebook-android-sdk.git,4fb2b1f60658d21c30074dea0e542a31eac92fa4,2020-11-21T07:32:23Z,Fix file extensions and line endings (#868)  Summary: Three related commits to fix a few file extensions/formatting. No content changes.  See discussion in https://github.com/facebook/facebook-android-sdk/issues/660 for some context.  cc rightparen  Pull Request resolved: https://github.com/facebook/facebook-android-sdk/pull/868  Reviewed By: Mxiim  Differential Revision: D25137908  Pulled By: jawwad  fbshipit-source-id: 046057e889f187ed892a939b59f085203963e7ea,Facebook GitHub Bot,97,True,False,0.20560205513302976
2493904,tomcat,apache/tomcat,Apache Tomcat,47359,master,Java,2011-10-01T07:00:19Z,2020-11-28T14:46:16Z,2020-11-26T21:14:44Z,118608,5024,494,False,3444,13,5024,True,False,False,False,True,git://github.com/apache/tomcat.git,https://github.com/apache/tomcat.git,abab1a48e0d4bab8a1508a88aa09cf72d2e20e7d,2020-11-26T21:10:54Z,Fix test broken by BZ 56181,Mark Thomas,579,True,True,0.20387213465474593
2108481,spring-security-oauth,spring-projects/spring-security-oauth,Support for adding OAuth1(a) and OAuth2 features (consumer and provider) for Spring web applications.,317776,master,Java,2011-07-26T18:08:49Z,2020-11-28T14:07:16Z,2020-10-26T19:01:20Z,7137,4269,408,False,3865,533,4269,True,True,True,True,True,git://github.com/spring-projects/spring-security-oauth.git,https://github.com/spring-projects/spring-security-oauth.git,ef8d78403d551ca9c23c6de4db0aa6aae2e24d79,2020-10-26T18:56:15Z,Fix typo  Closes gh-827,Joe Grandja,8,True,True,0.20245400774454722
